theme,choix1,choix2,choix3,choix4,rep
Président,Donald Trump,Bill Gates,Francois Hollande,Emmanuel Macron,Bill Gates
Planète,Venus,Mars,Mercurochrome,Saturne,Mercurochrome
Monnaie,Zeni,Pesos,Dollar,Yen,Zeni
Pays,Mongolie,Inde,Afrique,Colombie,Afrique
Verbe,Manger,Boire,Courir,Beau,Beau
Animaux,Les chauves-souris sont des oiseaux,Les araignées ont 8 pattes,Les faisans ont des plumes,Les rhinocéros ont des cornes,Les chauves-souris sont des oiseaux
Animaux,Les baleines sont les plus grands mammifères marins,Les chiens sont des animaux domestiques,Les dauphins ont des dents,Les éléphants pondent des oeufs,Les éléphants pondent des oeufs
Géographie,Rome est la capitale de l'italie,La France est situé en Europe,Les Etats-Unis comporte 50 états,Barcelone est la capitale de l'Espagne,Barcelone est la capitale de l'Espagne
Histoire,Rome a été dirigée par Jules César,La France est une démocratie,Les hommes préhistoriques chassaient des mammouths,La dernière bataille de Napoleon est Waterloo,Les hommes préhistoriques chassaient des mammouths
Histoire,Il y a eu une révolution en france,Christophe Colomb a découvert l'amérique,Les guerres de l'époque médiévale se faisait principalement avc de la cavalerie,Pendant l'age de pierre les hommes diposaient de structures métalliques,Pendant l'age de pierre les hommes diposaient de structures métalliques
Sport,Pour jouer au Hockey il faut une balle,Au basketball il est possible de mettre 3 points en un lancé,Au football il y a 11 joueurs par équipes,Il y a des compétitions d'échecs,Pour jouer au Hockey il faut une balle

